#   WAVELENGTH        FLUX
#------------- -----------
     2000.000      1.4093
     3500.000      1.4093
     3500.100      1.4092
     3500.200      1.4092
     3500.300      1.4091
     3500.400      1.4090
     3500.500      1.4089
     3500.600      1.4088
     3500.700      1.4088
     3500.800      1.4087
     3500.900      1.4086
     3501.000      1.4085
     3501.100      1.4084
     3501.200      1.4084
     3501.300      1.4083
     3501.400      1.4082
     3501.500      1.4081
     3501.600      1.4080
     3501.700      1.4080
     3501.800      1.4079
     3501.900      1.4078
     3502.000      1.4077
     3502.100      1.4076
     3502.200      1.4076
     3502.300      1.4075
     3502.400      1.4074
     3502.500      1.4073
     3502.600      1.4072
     3502.700      1.4072
     3502.800      1.4071
     3502.900      1.4070
     3503.000      1.4069
     3503.100      1.4068
     3503.200      1.4068
     3503.300      1.4067
     3503.400      1.4066
     3503.500      1.4065
     3503.600      1.4064
     3503.700      1.4064
     3503.800      1.4063
     3503.900      1.4062
     3504.000      1.4061
     3504.100      1.4060
     3504.200      1.4059
     3504.300      1.4059
     3504.400      1.4058
     3504.500      1.4057
     3504.600      1.4056
     3504.700      1.4055
     3504.800      1.4055
     3504.900      1.4054
     3505.000      1.4053
     3505.100      1.4052
     3505.200      1.4051
     3505.300      1.4051
     3505.400      1.4050
     3505.500      1.4049
     3505.600      1.4048
     3505.700      1.4047
     3505.800      1.4047
     3505.900      1.4046
     3506.000      1.4045
     3506.100      1.4044
     3506.200      1.4043
     3506.300      1.4043
     3506.400      1.4042
     3506.500      1.4041
     3506.600      1.4040
     3506.700      1.4039
     3506.800      1.4039
     3506.900      1.4038
     3507.000      1.4037
     3507.100      1.4036
     3507.200      1.4035
     3507.300      1.4035
     3507.400      1.4034
     3507.500      1.4033
     3507.600      1.4032
     3507.700      1.4031
     3507.800      1.4031
     3507.900      1.4030
     3508.000      1.4029
     3508.100      1.4028
     3508.200      1.4027
     3508.300      1.4027
     3508.400      1.4026
     3508.500      1.4025
     3508.600      1.4024
     3508.700      1.4023
     3508.800      1.4023
     3508.900      1.4022
     3509.000      1.4021
     3509.100      1.4020
     3509.200      1.4019
     3509.300      1.4019
     3509.400      1.4018
     3509.500      1.4017
     3509.600      1.4016
     3509.700      1.4015
     3509.800      1.4015
     3509.900      1.4014
     3510.000      1.4013
     3510.100      1.4012
     3510.200      1.4011
     3510.300      1.4011
     3510.400      1.4010
     3510.500      1.4009
     3510.600      1.4008
     3510.700      1.4007
     3510.800      1.4007
     3510.900      1.4006
     3511.000      1.4005
     3511.100      1.4004
     3511.200      1.4003
     3511.300      1.4003
     3511.400      1.4002
     3511.500      1.4001
     3511.600      1.4000
     3511.700      1.3999
     3511.800      1.3999
     3511.900      1.3998
     3512.000      1.3997
     3512.100      1.3996
     3512.200      1.3996
     3512.300      1.3995
     3512.400      1.3994
     3512.500      1.3993
     3512.600      1.3992
     3512.700      1.3992
     3512.800      1.3991
     3512.900      1.3990
     3513.000      1.3989
     3513.100      1.3988
     3513.200      1.3988
     3513.300      1.3987
     3513.400      1.3986
     3513.500      1.3985
     3513.600      1.3984
     3513.700      1.3984
     3513.800      1.3983
     3513.900      1.3982
     3514.000      1.3981
     3514.100      1.3980
     3514.200      1.3980
     3514.300      1.3979
     3514.400      1.3978
     3514.500      1.3977
